date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2025-04-16,16,เมษายน,2568,266227,27,227,85,['254' '413' '474' '760'],['254' '413'],['474' '760'],Snake,Wednesday,0.9210312652587891,ช่วงข้างแรมแก่,404790.6763030635
2025-04-01,1,เมษายน,2568,669687,87,687,36,['635' '760' '180' '666'],['635' '760'],['180' '666'],Snake,Tuesday,0.09628508567810058,เริ่มข้างขึ้น,360971.40240122797
2025-03-16,16,มีนาคม,2568,757563,63,563,32,['595' '927' '309' '457'],['595' '927'],['309' '457'],Snake,Sunday,0.9733042907714844,ช่วงข้างแรมแก่,404587.6465884852
2025-03-01,1,มีนาคม,2568,818894,94,894,54,['139' '530' '656' '781'],['139' '530'],['656' '781'],Snake,Saturday,0.013424690961837769,เริ่มข้างขึ้น,362588.1166286883
2025-02-16,16,กุมภาพันธ์,2568,847377,77,377,50,['268' '613' '001' '652'],['268' '613'],['001' '652'],Snake,Sunday,0.8914226531982422,ช่วงข้างแรมแก่,402668.2164149964
2025-02-01,1,กุมภาพันธ์,2568,558700,00,700,51,['285' '418' '685' '824'],['285' '418'],['685' '824'],Snake,Saturday,0.07917084217071534,เริ่มข้างขึ้น,368083.78164771013
2025-01-17,17,มกราคม,2568,807779,79,779,23,['699' '961' '448' '477'],['699' '961'],['448' '477'],Snake,Friday,0.9012483978271484,ช่วงข้างแรมแก่,394350.02387481276
2025-01-02,2,มกราคม,2568,730209,09,209,51,['065' '446' '297' '376'],['065' '446'],['297' '376'],Snake,Thursday,0.05051710605621338,เริ่มข้างขึ้น,378560.17064949963
2024-12-16,16,ธันวาคม,2567,097863,63,863,21,['290' '742' '339' '881'],['290' '742'],['339' '881'],Dragon,Monday,0.9930158233642579,ช่วงข้างแรมแก่,372816.6832905868
2024-12-01,1,ธันวาคม,2567,669843,43,843,61,['559' '626' '098' '654'],['559' '626'],['098' '654'],Dragon,Sunday,0.002216091752052307,เริ่มข้างขึ้น,397085.648129913
2024-11-16,16,พฤศจิกายน,2567,187221,21,221,38,['036' '923' '547' '980'],['036' '923'],['547' '980'],Dragon,Saturday,0.9986708831787109,ช่วงข้างแรมแก่,362141.4791213907
2024-11-01,1,พฤศจิกายน,2567,536044,44,044,32,['174' '225' '063' '231'],['174' '225'],['063' '231'],Dragon,Friday,0.003023550808429718,เริ่มข้างขึ้น,404653.30296384636
2024-10-16,16,ตุลาคม,2567,482962,62,962,00,['561' '648' '493' '919'],['561' '648'],['493' '919'],Dragon,Wednesday,0.9670437622070313,ช่วงข้างแรมแก่,358218.2930000103
2024-10-01,1,ตุลาคม,2567,718665,65,665,59,['053' '812' '079' '566'],['053' '812'],['079' '566'],Dragon,Tuesday,0.028429079055786132,เริ่มข้างขึ้น,405423.5898291576
